No;Judul Berita;Label;Keterangan Label
1;"""Nggak Nyangka! Artis Ini Ternyata Punya Kebiasaan Aneh Sebelum Tidur""";1;Clickbait 
2;"""Pemerintah Resmi Menaikkan Tarif Pajak Hiburan Sebesar 10 Persen""";0;Informatif 
3;"""Bikin Syok! Modal Cuma 5 Ribu Bisa Dapat Rumah Mewah di Jakarta?""";1;Clickbait 
4;"""Langkah-Langkah Mengaktifkan Autentikasi Dua Faktor pada Akun Google""";0;Informatif 
5;"""Isinya Bikin Nangis, Viral Video Seorang Anak Temukan Surat Lama Ayahnya""";1;Clickbait 
6;"""Universitas Pembangunan Jaya Membuka Pendaftaran Mahasiswa Baru Gelombang Ketiga""";0;Informatif 
7;"""Rahasia Terbongkar! Ini Cara Cepat Kaya Tanpa Perlu Kerja Keras""";1;Clickbait 
8;"""Riset Menunjukkan Konsumsi Kopi Hitam Tanpa Gula Baik untuk Kesehatan Jantung""";0;Informatif 
9;"""Detik-Detik Menegangkan! Pesawat Ini Hampir Saja Mengalami Hal Mengerikan""";1;Clickbait 
10;"""Rapat Paripurna DPR Hari Ini Membahas Rancangan Undang-Undang Perlindungan Data""";0;Informatif 
11;"""Klik Di Sini! Kamu Pasti Nggak Percaya Apa yang Terjadi Selanjutnya""";1;Clickbait 
12;"""Panduan Lengkap Menggunakan Library Scikit-Learn untuk Pemula di Python""";0;Informatif 
13;"""Semua Orang Tertipu! Ternyata Buah Ini Bukan Berasal dari Indonesia""";1;Clickbait 
14;"""Harga Saham Perusahaan Teknologi Mengalami Penurunan Sebesar 5 Persen Hari Ini""";0;Informatif 
15;"""Wajib Tahu! Jangan Pernah Lakukan Hal Ini Kalau Nggak Mau Menyesal Seumur Hidup""";1;Clickbait 
16;"""BMKG Mengeluarkan Peringatan Dini Cuaca Ekstrem untuk Wilayah Jabodetabek""";0;Informatif 
17;"""Hati-Hati! Makanan Enak Ini Ternyata Mengandung Racun Tersembunyi""";1;Clickbait 
18;"""Kementerian Kesehatan Meluncurkan Program Vaksinasi Gratis untuk Anak Sekolah""";0;Informatif 
19;"""Parah Banget! Selebgram Ini Ketahuan Lakukan Kebohongan Publik Demi Konten""";1;Clickbait 
20;"""Cara Menghitung Nilai Akurasi Menggunakan Confusion Matrix pada Model Klasifikasi""";0;Informatif 
