id;judul_berita;kata_kriminal;kata_umum;kata_urgensi;label_kelas
D1;"""Kebakaran Hebat di Kemayoran Jakpus, 250 Rumah Warga Hangus""";0;2;2;0
D2;"""Prabowo-Megawati Gandengan, Bos PPI: Hubungan Mereka Melampaui Urusan Politik""";0;3;1;0
D3;"""Akhir Aksi Pria Bogor Tipu-tipu Modus Tarik Tunai di SPBU""";2;2;2;1
D4;"""Pejabat Tembak Sapi Kurban Idul Adha Pakai Senapan, Publik Malaysia Terbelah""";1;3;1;0
D5;"""Babak Baru Kasus Pembubaran Ibadah Jemaat Gereja di Bantul""";2;2;1;1
D6;"""Kronologi Pembunuhan WN Korsel yang Didalangi Mantan Istri""";2;1;1;1
D7;"""Viral Maling Kepergok Curi Motor di Jaktim hingga Todongkan Pistol""";2;1;3;1
D8;"""Rano: Saya Surprised Perbaikan Jalan Amblas Lenteng Agung Hanya Butuh 5 Hari""";0;3;2;0
D9;"""Kenapa Investasi ke TaniHub Dianggap Rugikan Negara Rp 364 M? Ini Dakwaan Jaksa""";2;2;2;1
D10;"""Berkas Perkara Lengkap, Roy Suryo Segera Disidang di Kasus Ijazah Jokowi""";3;2;2;1
